,Combined_ID,Year,How.satisfied.are.you.with.your.life.in.general,How.satisfied.are.you.with.Somerville.as.a.place.to.live,How.satisfied.are.you.with.your.neighborhood,How.proud.are.you.to.be.a.Somerville.resident,How.would.you.rate.the.following..The.availability.of.information.about.city.services,How.would.you.rate.the.following..The.cost.of.housing,How.would.you.rate.the.following..The.overall.quality.of.public.schools,How.would.you.rate.the.following..Your.trust.in.the.local.police,How.would.you.rate.the.following..The.maintenance.of.streets.and.sidewalks,How.would.you.rate.the.following..The.availability.of.social.community.events,How.safe.do.you.feel.walking.in.your.neighborhood.at.night,How.satisfied.are.you.with.the.beauty.or.physical.setting.of.your.neighborhood,How.satisfied.are.you.with.the.appearance.of.parks.and.squares.in.your.neighborhood,What.is.your.gender,Age,What.is.your.race.or.ethnicity,Do.you.have.children.age.18.or.younger.who.live.with.you,Describe.your.housing.status.in.Somerville,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years,How.long.have.you.lived.here,What.is.your.annual.household.income,Are.you.a.student,How.anxious.did.you.feel.yesterday,How.satisfied.are.you.with.the.quality.and.number.of.transportation.options.available.to.you,Language,What.languages.do.you.speak.at.home,Class
6545,6546.0,2017,9.0,10.0,10.0,10.0,4.0,4.0,4.0,5.0,5.0,5.0,10.0,10.0,10.0,4,5,30,0,2,1,8,2,0,7,10.0,1,4,0
6547,6548.0,2017,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,1,40,15,0,2,0,7,0,0,9,10.0,11,45,0
6548,6549.0,2017,8.0,10.0,10.0,10.0,5.0,1.0,3.0,5.0,5.0,5.0,10.0,9.0,9.0,4,30,30,0,1,0,16,2,0,8,10.0,1,4,0
6549,6550.0,2017,8.0,8.0,8.0,6.0,5.0,2.0,4.0,3.0,3.0,5.0,8.0,8.0,9.0,1,15,30,0,2,0,8,2,1,8,9.0,1,4,0
6550,6551.0,2017,10.0,10.0,10.0,10.0,5.0,3.0,4.0,5.0,4.0,5.0,7.0,8.0,8.0,1,5,30,0,1,0,32,2,0,1,10.0,1,4,0
6551,6552.0,2017,10.0,10.0,7.0,8.0,3.0,2.0,3.0,4.0,5.0,5.0,8.0,8.0,6.0,1,5,30,0,2,0,32,1,0,8,8.0,1,4,0
6552,6553.0,2017,8.0,9.0,8.0,5.0,4.0,1.0,3.0,4.0,2.0,5.0,10.0,6.0,8.0,4,15,30,0,2,1,32,2,0,9,6.0,1,4,0
6553,6554.0,2017,8.0,9.0,9.0,9.0,4.0,3.0,3.0,4.0,3.0,4.0,9.0,7.0,10.0,1,30,22,0,1,0,16,7,0,9,10.0,1,4,0
6554,6555.0,2017,10.0,8.0,6.0,5.0,5.0,5.0,3.503584229390681,5.0,3.0,5.0,8.0,8.0,10.0,1,15,30,0,1,0,32,2,0,1,8.0,1,4,0
6556,6557.0,2017,5.0,1.0,3.0,9.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,5.0,6.0,4,40,30,1,1,0,16,5,0,6,1.0,1,4,0
6557,6558.0,2017,7.0,8.0,8.0,8.0,4.0,2.0,3.0,4.0,4.0,4.0,8.0,8.0,8.0,1,5,30,0,2,1,8,2,0,7,8.0,1,4,0
6558,6559.0,2017,9.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,1,40,30,0,2,0,49,0,0,1,10.0,1,27,0
6559,6560.0,2017,9.0,9.0,9.0,10.0,5.0,1.0,4.0,4.0,2.0,5.0,7.0,10.0,8.0,1,40,30,0,1,0,16,5,0,9,6.0,1,4,0
6560,6561.0,2017,10.0,9.0,8.0,9.0,5.0,2.0,2.0,5.0,2.0,4.0,8.0,5.0,6.0,4,5,30,1,1,1,0,2,0,1,9.0,1,4,0
6561,6562.0,2017,10.0,10.0,10.0,10.0,5.0,3.0,3.503584229390681,3.0,4.0,5.0,10.0,10.0,10.0,1,5,30,0,2,0,32,7,0,7,10.0,1,4,0
6562,6563.0,2017,7.0,7.0,7.0,9.0,5.0,3.0,3.0,4.0,4.0,5.0,9.0,8.0,8.0,4,15,30,0,1,0,32,2,0,8,7.0,1,4,0
6563,6564.0,2017,10.0,10.0,10.0,8.0,5.0,3.0,4.0,3.0,4.0,5.0,10.0,9.0,10.0,4,15,12,0,1,0,0,2,0,1,9.0,1,4,0
6564,6565.0,2017,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,4,40,30,0,1,0,16,8,0,1,6.0,1,4,0
6565,6566.0,2017,8.0,9.0,9.0,9.0,4.0,2.0,3.0,4.0,4.0,4.0,10.0,9.0,9.0,4,5,30,0,2,0,32,8,0,9,9.0,1,4,0
