,Combined_ID,Year,How.satisfied.are.you.with.your.life.in.general,How.satisfied.are.you.with.Somerville.as.a.place.to.live,How.satisfied.are.you.with.your.neighborhood,How.proud.are.you.to.be.a.Somerville.resident,How.would.you.rate.the.following..The.availability.of.information.about.city.services,How.would.you.rate.the.following..The.cost.of.housing,How.would.you.rate.the.following..The.overall.quality.of.public.schools,How.would.you.rate.the.following..Your.trust.in.the.local.police,How.would.you.rate.the.following..The.maintenance.of.streets.and.sidewalks,How.would.you.rate.the.following..The.availability.of.social.community.events,How.safe.do.you.feel.walking.in.your.neighborhood.at.night,How.satisfied.are.you.with.the.beauty.or.physical.setting.of.your.neighborhood,How.satisfied.are.you.with.the.appearance.of.parks.and.squares.in.your.neighborhood,What.is.your.gender,Age,What.is.your.race.or.ethnicity,Do.you.have.children.age.18.or.younger.who.live.with.you,Describe.your.housing.status.in.Somerville,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years,How.long.have.you.lived.here,What.is.your.annual.household.income,Are.you.a.student,How.anxious.did.you.feel.yesterday,How.satisfied.are.you.with.the.quality.and.number.of.transportation.options.available.to.you,Language,What.languages.do.you.speak.at.home,Class
7357,7358.0,2017,5.0,8.0,8.0,8.0,3.0,2.0,3.503584229390681,3.889212827988338,3.0,5.0,6.0,7.0,9.0,1,5,16,0,2,1,0,5,1,3,7.0,1,4,0
7518,7519.0,2019,9.0,5.7260677466863035,4.0,5.6923076923076925,4.0,2.0,3.0,2.0,1.0,4.0,5.0,5.0,5.0,1,30,30,0,1,0,24,8,0,4,5.631578947368421,1,4,1
6821,6822.0,2017,8.0,5.0,9.0,9.0,3.0,1.0,3.0,1.0,2.0,5.0,10.0,6.0,1.0,4,5,12,1,1,0,11,5,0,2,6.0,1,4,1
6060,6061.0,2011,10.0,10.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
913,914.0,2011,5.0,8.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7309,7310.0,2017,9.0,9.0,10.0,9.0,5.0,4.0,5.0,5.0,4.0,5.0,9.0,9.0,10.0,4,50,26,0,1,0,16,5,0,2,10.0,1,24,0
4221,4222.0,2011,2.0,5.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7699,7700.0,2019,6.0,8.0,8.0,5.6923076923076925,4.0,1.0,2.9245283018867925,3.0,3.0,4.0,10.0,7.0,10.0,4,23,30,1,1,0,14,4,0,4,5.631578947368421,2,4,1
7289,7290.0,2017,6.0,7.0,7.0,6.0,4.0,2.0,3.0,4.0,4.0,5.0,6.0,6.0,6.0,4,5,30,0,1,0,8,2,0,7,5.0,1,4,0
3976,3977.0,2011,3.0,8.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7024,7025.0,2017,9.0,9.0,10.0,8.0,5.0,3.0,3.0,4.0,2.0,5.0,8.0,9.0,5.0,1,5,30,0,1,0,32,2,0,9,5.0,1,4,0
7102,7103.0,2017,8.0,8.0,8.0,8.0,3.0,2.0,3.0,4.0,4.0,4.0,8.0,7.0,9.0,1,0,30,0,2,0,8,1,0,5,9.0,1,4,0
5433,5434.0,2011,4.0,9.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7237,7238.0,2017,8.0,8.0,6.0,6.0,5.0,2.0,3.503584229390681,3.889212827988338,1.0,3.0,4.0,4.0,4.0,1,5,2,0,1,0,0,1,0,3,2.0,1,3,0
6929,6930.0,2017,9.0,7.0,6.0,8.0,3.0,2.0,3.503584229390681,4.0,2.0,4.0,8.0,4.0,8.0,4,15,30,0,1,0,49,2,0,5,9.0,1,4,0
6662,6663.0,2017,9.0,9.0,9.0,9.0,5.0,2.0,5.0,5.0,4.0,4.0,9.0,9.0,9.0,4,15,30,1,2,0,7,1,0,2,9.0,1,4,0
6919,6920.0,2017,7.0,8.0,8.0,6.0,3.0,2.0,3.503584229390681,3.0,4.0,4.0,8.0,7.0,7.0,4,5,30,0,2,1,0,8,0,4,7.0,1,13,0
5021,5022.0,2011,4.0,5.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
6642,6643.0,2017,9.0,8.0,7.0,8.0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,8.0,9.0,1,5,30,0,1,0,0,2,0,7,8.0,1,4,0
6700,6701.0,2017,8.0,5.0,8.0,8.0,4.0,1.0,4.0,4.0,4.0,4.0,9.0,6.0,9.0,4,15,30,1,1,0,7,7,0,8,8.0,1,4,0
3228,3229.0,2011,4.0,5.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
6559,6560.0,2017,9.0,9.0,9.0,10.0,5.0,1.0,4.0,4.0,2.0,5.0,7.0,10.0,8.0,1,40,30,0,1,0,16,5,0,9,6.0,1,4,0
7256,7257.0,2017,10.0,10.0,10.0,10.0,5.0,5.0,3.503584229390681,5.0,5.0,5.0,10.0,10.0,10.0,1,30,30,0,1,0,16,1,0,1,10.0,1,4,0
6745,6746.0,2017,8.0,8.0,9.0,9.0,3.0,2.0,3.0,3.0,4.0,5.0,9.0,9.0,9.0,1,5,12,0,2,0,49,8,0,5,9.0,1,4,0
6951,6952.0,2017,5.0,9.0,10.0,9.0,3.0,1.0,2.9245283018867925,5.0,5.0,5.0,10.0,10.0,9.0,4,15,30,0,2,1,32,1,0,6,10.0,1,4,1
7483,7484.0,2019,3.0,7.0,5.0,5.6923076923076925,5.0,1.0,5.0,5.0,5.0,5.0,8.0,6.0,8.0,1,35,30,0,2,1,8,5,0,4,5.631578947368421,1,4,1
6850,6851.0,2017,10.0,9.0,10.0,10.0,5.0,3.0,3.503584229390681,5.0,3.0,4.0,8.0,7.0,9.0,4,40,2,0,1,1,16,5,0,1,9.0,1,36,0
5561,5562.0,2011,4.0,5.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
579,580.0,2011,4.0,7.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
737,738.0,2011,5.0,9.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
5791,5792.0,2011,8.0,9.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
793,794.0,2011,2.0,5.7260677466863035,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7139,7140.0,2017,8.0,9.0,9.0,9.0,3.0,1.0,3.0,3.0,2.0,5.0,9.0,8.0,6.0,1,5,16,0,2,1,8,8,0,7,7.0,1,4,0
